id,voter_id,candidate_id,position_id,election_id,created_at,updated_at
3272,3,4,3,1,2026-05-22 13:45:33,2026-05-22 13:45:33
3273,3,5,4,1,2026-05-22 13:45:33,2026-05-22 13:45:33
3274,3,6,5,1,2026-05-22 13:45:33,2026-05-22 13:45:33
3275,3,7,6,1,2026-05-22 13:45:33,2026-05-22 13:45:33
3276,3,21,7,1,2026-05-22 13:45:33,2026-05-22 13:45:33
3277,3,24,9,1,2026-05-22 13:45:33,2026-05-22 13:45:33
3278,3,25,10,1,2026-05-22 13:45:33,2026-05-22 13:45:33
3279,3,88,12,1,2026-05-22 13:45:33,2026-05-22 13:45:33
3280,3,102,13,1,2026-05-22 13:45:33,2026-05-22 13:45:33
3281,3,90,14,1,2026-05-22 13:45:33,2026-05-22 13:45:33
3282,3,109,16,1,2026-05-22 13:45:33,2026-05-22 13:45:33
3283,4,1,1,1,2026-05-22 09:15:08,2026-05-22 09:15:08
3284,4,4,3,1,2026-05-22 09:15:08,2026-05-22 09:15:08
3285,4,6,5,1,2026-05-22 09:15:08,2026-05-22 09:15:08
3286,4,12,6,1,2026-05-22 09:15:08,2026-05-22 09:15:08
3287,4,24,9,1,2026-05-22 09:15:08,2026-05-22 09:15:08
3288,4,25,10,1,2026-05-22 09:15:08,2026-05-22 09:15:08
3289,4,87,11,1,2026-05-22 09:15:08,2026-05-22 09:15:08
3290,4,101,12,1,2026-05-22 09:15:08,2026-05-22 09:15:08
3291,4,104,15,1,2026-05-22 09:15:08,2026-05-22 09:15:08
3292,4,97,16,1,2026-05-22 09:15:08,2026-05-22 09:15:08
3293,6,1,1,1,2026-05-22 14:14:31,2026-05-22 14:14:31
3294,6,2,2,1,2026-05-22 14:14:31,2026-05-22 14:14:31
3295,6,5,4,1,2026-05-22 14:14:31,2026-05-22 14:14:31
3296,6,6,5,1,2026-05-22 14:14:31,2026-05-22 14:14:31
3297,6,9,6,1,2026-05-22 14:14:31,2026-05-22 14:14:31
3298,6,24,9,1,2026-05-22 14:14:31,2026-05-22 14:14:31
3299,6,25,10,1,2026-05-22 14:14:31,2026-05-22 14:14:31
3300,6,114,12,1,2026-05-22 14:14:31,2026-05-22 14:14:31
3301,6,118,14,1,2026-05-22 14:14:31,2026-05-22 14:14:31
3302,6,128,16,1,2026-05-22 14:14:31,2026-05-22 14:14:31
3303,8,1,1,1,2026-05-22 08:10:33,2026-05-22 08:10:33
3304,8,2,2,1,2026-05-22 08:10:33,2026-05-22 08:10:33
3305,8,4,3,1,2026-05-22 08:10:33,2026-05-22 08:10:33
3306,8,5,4,1,2026-05-22 08:10:33,2026-05-22 08:10:33
3307,8,7,6,1,2026-05-22 08:10:33,2026-05-22 08:10:33
3308,8,25,10,1,2026-05-22 08:10:33,2026-05-22 08:10:33
3309,8,89,13,1,2026-05-22 08:10:33,2026-05-22 08:10:33
3310,8,90,14,1,2026-05-22 08:10:33,2026-05-22 08:10:33
3311,8,80,15,1,2026-05-22 08:10:33,2026-05-22 08:10:33
3312,9,1,1,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3313,9,2,2,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3314,9,4,3,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3315,9,5,4,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3316,9,6,5,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3317,9,11,6,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3318,9,20,7,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3319,9,24,9,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3320,9,25,10,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3321,9,100,11,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3322,9,88,12,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3323,9,89,13,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3324,9,79,14,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3325,9,91,15,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3326,9,110,16,1,2026-05-22 14:26:18,2026-05-22 14:26:18
3327,10,1,1,1,2026-05-22 13:58:32,2026-05-22 13:58:32
3328,10,3,2,1,2026-05-22 13:58:32,2026-05-22 13:58:32
3329,10,4,3,1,2026-05-22 13:58:32,2026-05-22 13:58:32
3330,10,6,5,1,2026-05-22 13:58:32,2026-05-22 13:58:32
3331,10,19,6,1,2026-05-22 13:58:32,2026-05-22 13:58:32
3332,10,21,7,1,2026-05-22 13:58:32,2026-05-22 13:58:32
3333,10,25,10,1,2026-05-22 13:58:32,2026-05-22 13:58:32
3334,10,100,11,1,2026-05-22 13:58:32,2026-05-22 13:58:32
3335,10,114,12,1,2026-05-22 13:58:32,2026-05-22 13:58:32
3336,10,79,14,1,2026-05-22 13:58:32,2026-05-22 13:58:32
3337,10,119,15,1,2026-05-22 13:58:32,2026-05-22 13:58:32
3338,12,1,1,1,2026-05-22 11:27:37,2026-05-22 11:27:37
3339,12,4,3,1,2026-05-22 11:27:37,2026-05-22 11:27:37
3340,12,5,4,1,2026-05-22 11:27:37,2026-05-22 11:27:37
3341,12,18,6,1,2026-05-22 11:27:37,2026-05-22 11:27:37
3342,12,21,7,1,2026-05-22 11:27:37,2026-05-22 11:27:37
3343,12,25,10,1,2026-05-22 11:27:37,2026-05-22 11:27:37
3344,12,100,11,1,2026-05-22 11:27:37,2026-05-22 11:27:37
3345,12,114,12,1,2026-05-22 11:27:37,2026-05-22 11:27:37
3346,12,102,13,1,2026-05-22 11:27:37,2026-05-22 11:27:37
3347,12,91,15,1,2026-05-22 11:27:37,2026-05-22 11:27:37
3348,12,97,16,1,2026-05-22 11:27:37,2026-05-22 11:27:37
3349,13,1,1,1,2026-05-22 15:39:14,2026-05-22 15:39:14
3350,13,3,2,1,2026-05-22 15:39:14,2026-05-22 15:39:14
3351,13,4,3,1,2026-05-22 15:39:14,2026-05-22 15:39:14
3352,13,6,5,1,2026-05-22 15:39:14,2026-05-22 15:39:14
3353,13,11,6,1,2026-05-22 15:39:14,2026-05-22 15:39:14
3354,13,21,7,1,2026-05-22 15:39:14,2026-05-22 15:39:14
3355,13,24,9,1,2026-05-22 15:39:14,2026-05-22 15:39:14
3356,13,25,10,1,2026-05-22 15:39:14,2026-05-22 15:39:14
3357,13,100,11,1,2026-05-22 15:39:14,2026-05-22 15:39:14
3358,13,101,12,1,2026-05-22 15:39:14,2026-05-22 15:39:14
3359,13,78,13,1,2026-05-22 15:39:14,2026-05-22 15:39:14
3360,13,90,14,1,2026-05-22 15:39:14,2026-05-22 15:39:14
3361,13,104,15,1,2026-05-22 15:39:14,2026-05-22 15:39:14
3362,13,105,16,1,2026-05-22 15:39:14,2026-05-22 15:39:14
3363,15,1,1,1,2026-05-22 11:37:30,2026-05-22 11:37:30
3364,15,3,2,1,2026-05-22 11:37:30,2026-05-22 11:37:30
3365,15,5,4,1,2026-05-22 11:37:30,2026-05-22 11:37:30
